batch_idx,model,acc,f1,precision,recall,bac,mcc,f1_ema
18,xgb,0.957,0.9552549427679501,0.9956616052060737,0.918,0.9570000000000001,0.916793139577387,0.9598868195508243
18,sgd_static,0.9425,0.9401353461738677,0.9804560260586319,0.903,0.9425,0.8877746366562087,0.9431646750123532
18,sgd_adaptive,0.992,0.9920159680638723,0.9900398406374502,0.994,0.992,0.9840078720944653,0.9491559708448453
18,ensemble,0.9535,0.9514866979655712,0.9945474372955289,0.912,0.9535,0.9101403964906636,0.9405575843459855
19,rf,0.6395,0.4397824397824398,0.9860627177700348,0.283,0.6395,0.3979097432294968,0.48117063608566424
19,xgb,0.9595,0.958139534883721,0.9914438502673797,0.927,0.9595,0.9209475610113809,0.9592752699173381
19,sgd_static,0.9455,0.9433766233766234,0.9816216216216216,0.908,0.9455,0.8935165592248702,0.9432388569398479
19,sgd_adaptive,0.991,0.9910536779324056,0.9851778656126482,0.997,0.991,0.9820707116369485,0.9638201683254914
19,ensemble,0.953,0.9511434511434511,0.9902597402597403,0.915,0.9530000000000001,0.9086279176346412,0.9442626377250984
20,rf,0.6385,0.4382284382284382,0.9825783972125436,0.282,0.6385,0.3950573436364538,0.46614086683563516
20,xgb,0.9645,0.963383187209902,0.9946751863684771,0.934,0.9645,0.9307332430507289,0.9607130409697355
20,sgd_static,0.9415,0.9388395190799791,0.9835706462212487,0.898,0.9415,0.8863608040237286,0.9416990886888938
20,sgd_adaptive,0.991,0.9910625620655412,0.9842209072978304,0.998,0.991,0.982096250149003,0.9733550061345089
20,ensemble,0.9515,0.9492943021432305,0.9945235487404163,0.908,0.9515,0.9064369264251722,0.9460237202714448
21,rf,0.6425,0.4444444444444444,0.9965156794425087,0.286,0.6425,0.40646694200862576,0.4585471189987184
21,xgb,0.9635,0.9621957534955982,0.9978517722878625,0.929,0.9635,0.9292146345512768,0.9612319903537875
21,sgd_static,0.948,0.9457202505219207,0.9890829694323144,0.906,0.948,0.8991779154523224,0.9431064953304533
21,sgd_adaptive,0.9935,0.9935097353969047,0.9920239282153539,0.995,0.9935,0.9870044415299803,0.9804091613763475
21,ensemble,0.958,0.9562043795620438,0.9989106753812637,0.917,0.958,0.9190952099194767,0.9495869510231545
22,rf,0.653,0.471841704718417,0.9872611464968153,0.31,0.653,0.42055985792993467,0.46320022400061295
22,xgb,0.9635,0.9623905203503349,0.9925611052072264,0.934,0.9635,0.9286176680541259,0.9616374758525792
22,sgd_static,0.945,0.9425287356321839,0.986870897155361,0.902,0.9450000000000001,0.8933095896506572,0.942904279436059
22,sgd_adaptive,0.9985,0.9985007496251874,0.998001998001998,0.999,0.9984999999999999,0.9970004985003739,0.9867412172634416
