batch_idx,model,acc,f1,precision,recall,bac,mcc,f1_ema
19,sgd_adaptive,0.9985,0.9985022466300549,0.9970089730807578,1.0,0.9984999999999999,0.9970044865302841,0.9769133213805308
19,ensemble,0.7765,0.71216999356085,1.0,0.553,0.7765,0.6181990026770101,0.699064685858252
20,rf,0.7165,0.6043265875785067,1.0,0.433,0.7165,0.5256654699933515,0.5775574580723853
20,xgb,0.5875,0.29906542056074764,0.9943502824858758,0.176,0.5875,0.3080761520348203,0.34536252699939524
20,sgd_static,0.7385,0.6515656229180546,0.9760479041916168,0.489,0.7384999999999999,0.5504256952849206,0.687509151013141
20,sgd_adaptive,0.9975,0.9975062344139651,0.9950248756218906,1.0,0.9975,0.995012437733208,0.9841208409422328
20,ensemble,0.7405,0.6505050505050505,0.9958762886597938,0.483,0.7404999999999999,0.5611356881556622,0.6820688134846316
21,rf,0.7475,0.6622073578595318,1.0,0.495,0.7475,0.5735012244843509,0.6071849229978866
21,xgb,0.5925,0.3133951137320977,0.9946524064171123,0.186,0.5925,0.3177254643514899,0.33417393235584114
21,sgd_static,0.771,0.7060333761232349,0.985663082437276,0.55,0.771,0.604226205541642,0.6939926298016739
21,sgd_adaptive,0.9985,0.9984992496248124,0.998998998998999,0.998,0.9984999999999999,0.9970004985003739,0.9891532839811358
21,ensemble,0.769,0.7,0.9981481481481481,0.539,0.769,0.6059111826315391,0.6883447287650105
22,rf,0.7495,0.6657771847898599,1.0,0.499,0.7495,0.5765804684883442,0.6276922146250773
22,xgb,0.5975,0.3263598326359833,1.0,0.195,0.5975,0.3286841051788631,0.33143899745389094
22,sgd_static,0.77,0.7043701799485861,0.9856115107913669,0.548,0.77,0.6026605552989267,0.6976247723530932
22,sgd_adaptive,0.998,0.998001998001998,0.9970059880239521,0.999,0.998,0.9960019920059761,0.9922503338884376
22,ensemble,0.7705,0.7021414665801428,1.0,0.541,0.7705,0.6089350697099706,0.6931735870003068
23,rf,0.733,0.635743519781719,1.0,0.466,0.733,0.5511632832454588,0.630510171429902
23,xgb,0.593,0.3148148148148148,0.9946808510638298,0.187,0.593,0.31868008396159053,0.3256205335302143
23,sgd_static,0.7605,0.6871325930764206,0.9905838041431262,0.526,0.7605,0.5899015874339882,0.6939525096062578
23,sgd_adaptive,1.0,1.0,1.0,1.0,1.0,1.0,0.9949627170274846
23,ensemble,0.7605,0.6850756081525312,1.0,0.521,0.7605,0.5935192026789141,0.6903392944035854
24,rf,0.737,0.6431478968792401,1.0,0.474,0.737,0.557329336671839,0.6349333753371703
24,xgb,0.59,0.3062605752961083,0.9945054945054945,0.181,0.59,0.31292471954145445,0.31884454814827723
24,sgd_static,0.761,0.6896103896103896,0.9833333333333333,0.531,0.761,0.5878915192075528,0.6924327676077039
24,sgd_adaptive,0.999,0.999000999000999,0.998003992015968,1.0,0.999,0.998001996005988,0.9963761157182147
24,ensemble,0.7615,0.6872131147540984,0.9980952380952381,0.524,0.7615000000000001,0.5943277752545844,0.689245131526265
25,rf,0.7395,0.6477349560513861,1.0,0.479,0.7395,0.5611812468779305,0.6394139285871459
25,xgb,0.5965,0.3235540653813915,1.0,0.193,0.5965,0.3268131915981141,0.32049287917986724
25,sgd_static,0.7605,0.6875407697325505,0.9887429643527205,0.527,0.7605,0.589195012438759,0.6907205683514003
25,sgd_adaptive,0.9995,0.9994997498749375,1.0,0.999,0.9995,0.9990004995003746,0.9974693876730677
25,ensemble,0.7615,0.6868023637557452,1.0,0.523,0.7615000000000001,0.5950597792037357,0.6883901628065832
26,rf,0.739,0.6468200270635994,1.0,0.478,0.739,0.5604109624021928,0.6420060630539046
26,xgb,0.59,0.3062605752961083,0.9945054945054945,0.181,0.59,0.31292471954145445,0.31551157282055164
26,sgd_static,0.7625,0.6909564085881588,0.9888268156424581,0.531,0.7625,0.5923112718880099,0.6908031124342657
26,sgd_adaptive,1.0,1.0,1.0,1.0,1.0,1.0,0.9983551019874941
26,ensemble,0.763,0.6893840104849279,1.0,0.526,0.763,0.5973709928685522,0.6887380094940039
27,rf,0.7385,0.6459038591740014,1.0,0.477,0.7384999999999999,0.5596406313378746,0.6433702916959385
27,xgb,0.5915,0.30938292476754015,1.0,0.183,0.5915,0.3173569993749688,0.31336654600199765
27,sgd_static,0.764,0.6950904392764858,0.9817518248175182,0.538,0.764,0.5919163484003881,0.6923036768290428
27,sgd_adaptive,0.9995,0.9995002498750625,0.999000999000999,1.0,0.9995,0.9990004995003746,0.998755903748143
